timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1785340219.271629,-3.96609,2.54602,-2.84366,0.174077,0.528615,-0.0380869,0.0766798,0.50073,-0.361916,-0.689092,0.10279,-0.0405018,0.716203,0.0680658,0.47394,0.0405583,-0.437132,0.0658958,0.0127127,0.89689,0.00400389,0.412768,-0.426486,0.0361066,-0.00790006,0.628956,0.776562,
1785340219.281691,-3.91586,2.47238,-2.84967,0.172136,0.525695,-0.0377799,0.0770801,0.500943,-0.361448,-0.691841,0.101946,-0.0364382,0.713887,0.0680522,0.473955,0.040566,-0.437098,0.0659101,0.0127633,0.896905,0.00396912,0.412684,-0.426507,0.035989,-0.00778159,0.629265,0.776318,
1785340219.291679,-3.9043,2.49187,-2.82252,0.170955,0.52445,-0.0377119,0.0765814,0.500749,-0.361837,-0.689969,0.103096,-0.0401845,0.715331,0.0680333,0.473965,0.0405596,-0.437165,0.0658161,0.0127035,0.89688,0.00434244,0.412621,-0.426509,0.0355123,-0.00802191,0.631375,0.774622,
1785340219.301708,-3.88599,2.41591,-2.78274,0.16934,0.523746,-0.0373809,0.0765918,0.500707,-0.361854,-0.690125,0.103142,-0.0391028,0.715234,0.0680219,0.473956,0.0405535,-0.437188,0.0658032,0.0127328,0.896869,0.00429539,0.412579,-0.426542,0.0354735,-0.00809674,0.631395,0.774607,
1785340219.311687,-3.82085,2.42827,-2.71605,0.168278,0.524556,-0.0364619,0.0764474,0.500597,-0.362087,-0.689538,0.102974,-0.0398459,0.715783,0.0679853,0.473956,0.0405417,-0.437236,0.0655553,0.0125663,0.896866,0.00426777,0.412515,-0.426587,0.0354306,-0.00817664,0.631559,0.774475,
1785340219.321665,-3.80421,2.38795,-2.63608,0.166772,0.526995,-0.0360448,0.0764208,0.500564,-0.362111,-0.68984,0.103323,-0.0392538,0.715475,0.0679783,0.473934,0.0405356,-0.437107,0.0656774,0.0127885,0.896917,0.00445969,0.412388,-0.425917,0.0388054,0.000347321,0.632899,0.773261,
1785340219.331649,-3.90723,2.34267,-2.61537,0.166115,0.53045,-0.0355778,0.0762962,0.500451,-0.362275,-0.68974,0.103274,-0.0395899,0.71556,0.0679459,0.47393,0.0405062,-0.437189,0.0657204,0.0129192,0.896872,0.00375241,0.412306,-0.425939,0.0389802,0.00115585,0.630051,0.775574,
1785340219.341678,-3.94241,2.42673,-2.54998,0.167497,0.533338,-0.0352239,0.0762305,0.500381,-0.362367,-0.689739,0.103628,-0.0389375,0.715545,0.0679369,0.473953,0.0404906,-0.437305,0.0657446,0.0129527,0.896814,0.0037217,0.412231,-0.425962,0.0389323,0.00126895,0.630197,0.775458,
1785340219.351667,-3.93095,2.37596,-2.48981,0.16611,0.535706,-0.0348799,0.0761752,0.500349,-0.362426,-0.689933,0.103302,-0.0394823,0.715376,0.0679254,0.473949,0.040482,-0.437322,0.0657527,0.0129773,0.896804,0.00360706,0.412196,-0.425983,0.0389486,0.00143773,0.629912,0.775688,
1785340219.361634,-3.87121,2.31305,-2.48889,0.164403,0.534934,-0.0346469,0.0761333,0.50029,-0.362488,-0.690222,0.103218,-0.0393467,0.715117,0.0679191,0.473951,0.0404799,-0.437305,0.0657548,0.013013,0.896812,0.00353853,0.412136,-0.426054,0.0387547,0.00118011,0.629878,0.775726,
1785340219.371674,-3.88924,2.29317,-2.45493,0.162763,0.534871,-0.0350178,0.0761474,0.500345,-0.362337,-0.691203,0.103407,-0.0391249,0.714153,0.0679084,0.473951,0.0404773,-0.437305,0.0657427,0.013019,0.896813,0.00405701,0.412008,-0.426055,0.0386772,0.00155338,0.632654,0.773466,
1785340219.381654,-3.85252,2.29414,-2.47413,0.161913,0.53273,-0.0349509,0.0760663,0.50029,-0.362448,-0.691226,0.1035,-0.0392738,0.714109,0.0678905,0.473954,0.0404649,-0.437266,0.0657967,0.0129739,0.896828,0.00329105,0.411985,-0.426111,0.0388394,0.00164667,0.629418,0.776094,
1785340219.391665,-3.84441,2.26756,-2.48046,0.161084,0.53114,-0.0347629,0.076028,0.50027,-0.362485,-0.691336,0.103307,-0.0394294,0.714022,0.0678875,0.473921,0.0404745,-0.437028,0.0659082,0.0129849,0.896936,0.00323354,0.41194,-0.426169,0.0385644,0.00122966,0.629526,0.77602,
1785340219.401657,-3.80781,2.33533,-2.53918,0.16154,0.529632,-0.0345959,0.0759916,0.500254,-0.362551,-0.691262,0.103258,-0.0395833,0.714092,0.0678735,0.473943,0.0404687,-0.437139,0.0658515,0.0129838,0.896886,0.0032314,0.411883,-0.426172,0.03835,0.00135385,0.629822,0.775791,
1785340219.411665,-3.85317,2.30109,-2.52541,0.16042,0.529482,-0.0345319,0.0759583,0.500201,-0.362584,-0.691509,0.103101,-0.0394483,0.713883,0.0678694,0.473934,0.04048,-0.437077,0.0658516,0.0130809,0.896915,0.0946878,0.469037,-0.453429,0.136235,0.990116,0.0333111,-0.000791226,
1785340219.421633,-3.83002,2.23598,-2.54457,0.159136,0.528599,-0.0347148,0.0759406,0.500174,-0.362604,-0.691707,0.103246,-0.0390534,0.713692,0.0678608,0.473932,0.0404785,-0.437023,0.065932,0.0130597,0.896935,0.0946431,0.469063,-0.453471,0.135606,0.990213,0.0329999,-0.000892868,
1785340219.431633,-3.80083,2.33212,-2.55704,0.159142,0.526928,-0.0349109,0.0759125,0.500162,-0.362641,-0.691688,0.103335,-0.0390231,0.713699,0.0678418,0.473955,0.0404747,-0.437027,0.0659783,0.0129144,0.896932,0.0945975,0.469019,-0.453483,0.135711,0.990199,0.0329818,-0.000853456,
1785340219.441646,-3.89408,2.23633,-2.55618,0.157359,0.527149,-0.0349249,0.0758985,0.500151,-0.362648,-0.691786,0.103389,-0.0390545,0.713595,0.0678405,0.473956,0.040475,-0.437032,0.0659849,0.0129043,0.896929,0.0945736,0.468989,-0.453499,0.135891,0.990176,0.0329273,-0.000938561,
1785340219.451666,-3.74973,2.2787,-2.5757,0.156894,0.523876,-0.0353739,0.0758925,0.500155,-0.362653,-0.691711,0.103458,-0.0389214,0.713664,0.0678413,0.473963,0.0404736,-0.437008,0.0659827,0.0129223,0.896941,0.0945262,0.46891,-0.453492,0.136503,0.990088,0.0330503,-0.000885455,
1785340219.461659,-3.72762,2.19655,-2.57604,0.15567,0.520882,-0.0349008,0.075888,0.500157,-0.362653,-0.691701,0.103451,-0.0389003,0.713677,0.0678381,0.473956,0.0404738,-0.437039,0.0659527,0.0128851,0.896929,0.0945249,0.468924,-0.453467,0.136442,0.990095,0.0330816,-0.000777368,
1785340219.481643,-3.69903,2.20711,-2.6218,0.155214,0.51783,-0.0346859,0.0758779,0.500161,-0.362649,-0.69166,0.103592,-0.0389247,0.713694,0.0678375,0.473967,0.0404656,-0.437051,0.0659798,0.012911,0.89692,0.0944895,0.468909,-0.453478,0.136708,0.990057,0.0331261,-0.000910352,
1785340219.491664,-3.71416,2.24754,-2.64812,0.155693,0.51712,-0.0348148,0.0758768,0.500163,-0.362648,-0.691667,0.103619,-0.0389336,0.713683,0.0678341,0.473957,0.0404764,-0.43703,0.0659356,0.0128865,0.896934,0.0944789,0.468875,-0.453492,0.137032,0.990019,0.0329173,-0.00105846,
1785340219.501628,-3.75925,2.29756,-2.6743,0.156483,0.517603,-0.0346799,0.075878,0.500162,-0.362649,-0.691671,0.103658,-0.0389357,0.713674,0.0678369,0.473959,0.0404806,-0.437028,0.0659605,0.0129023,0.896933,0.0944877,0.468837,-0.453433,0.137584,0.989922,0.0335268,-0.00072768,
1785340219.511752,-3.73833,2.2834,-2.66806,0.156486,0.517131,-0.0345979,0.0758789,0.500165,-0.362649,-0.691672,0.10368,-0.0389722,0.713668,0.0678435,0.473942,0.0404911,-0.436908,0.0660315,0.0129392,0.896986,0.0944822,0.468844,-0.453427,0.137578,0.989922,0.0335628,-0.000693767,
1785340219.521634,-3.70594,2.23125,-2.70086,0.155695,0.515279,-0.0347319,0.0758786,0.500169,-0.362646,-0.691671,0.103742,-0.0389593,0.713661,0.0678329,0.473976,0.0404954,-0.437111,0.0658179,0.0128869,0.896903,0.0944591,0.468786,-0.453419,0.138077,0.989854,0.0335248,-0.000712941,
1785340219.531686,-3.69134,2.24365,-2.66095,0.154729,0.514253,-0.0348328,0.0758686,0.500183,-0.362634,-0.69164,0.103868,-0.0388456,0.713678,0.0678348,0.473969,0.0404921,-0.437134,0.0657837,0.0129894,0.896893,0.0943458,0.468964,-0.453625,0.136847,0.990051,0.0326859,-0.00212071,
1785340219.541632,-3.60973,2.20355,-2.66127,0.153901,0.511386,-0.0347599,0.0758062,0.5002,-0.362635,-0.691549,0.104036,-0.0392457,0.71372,0.0678492,0.473953,0.0404974,-0.436945,0.065917,0.0130149,0.896975,0.0943202,0.468985,-0.453619,0.13683,0.990051,0.0327243,-0.00217679,
1785340219.551671,-3.60969,2.19734,-2.64792,0.153266,0.510386,-0.0347568,0.075774,0.500208,-0.362612,-0.691545,0.104229,-0.0390304,0.713708,0.0678344,0.473963,0.0404791,-0.437031,0.0659801,0.0129316,0.89693,0.0942887,0.469013,-0.453611,0.136767,0.990058,0.0327977,-0.00221057,
1785340219.561637,-3.58599,2.22736,-2.62826,0.153336,0.510015,-0.0348859,0.0757465,0.500239,-0.362598,-0.691542,0.103732,-0.0395602,0.713754,0.0678256,0.473965,0.0404724,-0.437039,0.066006,0.0130636,0.896922,0.00195931,0.412293,-0.425934,0.0398512,0.00351701,0.623822,0.780542,
1785340219.571692,-3.56504,2.14442,-2.57589,0.152365,0.510534,-0.0347198,0.0756884,0.50024,-0.362572,-0.691594,0.104392,-0.03872,0.713653,0.0678216,0.473951,0.0404678,-0.436967,0.0660827,0.0131412,0.89695,0.00194914,0.412293,-0.425952,0.0399887,0.00335645,0.623965,0.780421,
1785340219.581632,-3.64584,2.1927,-2.53632,0.153053,0.513023,-0.0343888,0.0756679,0.500253,-0.362579,-0.69161,0.104021,-0.03909,0.713672,0.0677945,0.473981,0.0404567,-0.43702,0.0661058,0.0131636,0.896923,0.094246,0.469756,-0.453639,0.132402,0.990651,0.0327354,-0.00290301,
1785340219.591684,-3.57041,2.20874,-2.48407,0.153465,0.514479,-0.0342588,0.0756237,0.500245,-0.362588,-0.691633,0.104439,-0.0387802,0.713605,0.0677871,0.473983,0.0404546,-0.437028,0.0661051,0.0131507,0.896919,0.0942309,0.469737,-0.453631,0.132481,0.990639,0.0327817,-0.00280633,
1785340219.601632,-3.61594,2.18759,-2.43799,0.153606,0.517583,-0.0338598,0.075611,0.500239,-0.362598,-0.691645,0.104476,-0.0388129,0.713586,0.0677847,0.473983,0.0404504,-0.43703,0.0661207,0.0131925,0.896916,0.0942258,0.469711,-0.453624,0.132596,0.990622,0.0328344,-0.00270141,
1785340219.611700,-3.58663,2.1716,-2.37892,0.153424,0.519271,-0.0338418,0.0756059,0.500202,-0.362603,-0.691771,0.104563,-0.038472,0.71347,0.0677912,0.473954,0.0404518,-0.436944,0.0661893,0.0132236,0.896953,0.0942134,0.469697,-0.453644,0.132583,0.990625,0.0327977,-0.00277393,
1785340219.621633,-3.60108,2.14429,-2.33932,0.153358,0.521794,-0.0332799,0.0755136,0.500081,-0.362872,-0.690529,0.104624,-0.0388676,0.714642,0.0677874,0.473948,0.0404353,-0.437007,0.0663015,0.0130747,0.896916,0.0941264,0.469651,-0.45376,0.13348,0.99048,0.0334915,-0.00323018,
1785340219.631709,-3.66875,2.20332,-2.28026,0.154357,0.525022,-0.0331329,0.0755946,0.500142,-0.362691,-0.691538,0.104514,-0.0385851,0.713697,0.0677869,0.473953,0.040416,-0.437056,0.0660967,0.0132062,0.896905,0.0022855,0.412175,-0.42597,0.039535,0.00345746,0.626203,0.778649,
1785340219.641633,-3.68386,2.17412,-2.26072,0.15471,0.527302,-0.0326619,0.0755958,0.500126,-0.362703,-0.691568,0.104532,-0.0385525,0.713667,0.0677842,0.473944,0.0404078,-0.437091,0.0661008,0.0132174,0.896888,0.00188975,0.41217,-0.426001,0.0397903,0.00352332,0.624221,0.780226,
1785340219.651711,-3.75581,2.17062,-2.2346,0.155038,0.529191,-0.0328779,0.0755947,0.500114,-0.362714,-0.691586,0.104513,-0.0385536,0.713653,0.0677852,0.473942,0.0404008,-0.437096,0.0661042,0.013248,0.896885,0.00229243,0.412127,-0.425985,0.0394802,0.00350063,0.626273,0.778595,
