timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1785334309.390674,0.0459824,0.0512543,-0.0130754,0.000342727,-0.000445724,-0.000429928,0.0852346,0.120255,-0.325204,0.984483,0.076581,0.000678951,0.157883,0.067536,0.473504,0.0387171,-0.438959,0.0674907,0.0146014,0.89585,0.0461506,0.0819079,-0.206065,0.612829,-0.514382,-0.468616,-0.374501,
1785334309.400688,-0.0315475,0.00427246,-0.0321398,-0.000319242,0.000740528,-0.000582814,0.0851817,0.120131,-0.325175,0.984498,0.0792021,0.000325669,0.156493,0.0675382,0.473505,0.0387183,-0.438957,0.0675185,0.014619,0.895848,0.0461533,0.0819175,-0.206065,0.612839,-0.514418,-0.468617,-0.374433,
1785334309.410675,-0.00424194,-0.0371246,-0.00619054,-0.000805259,0.000323415,-0.000894845,0.0852221,0.120217,-0.325183,0.984432,0.0788478,-8.97548e-05,0.157091,0.067532,0.473504,0.0387188,-0.438949,0.0675037,0.0146059,0.895854,0.0461429,0.081912,-0.206069,0.61285,-0.514352,-0.468646,-0.374471,
1785334309.420755,-0.00974274,-0.0706177,-0.0192192,-0.000985265,0.000624418,-0.000345826,0.0851717,0.120143,-0.325173,0.984498,0.0790564,0.000356143,0.156567,0.0675292,0.473503,0.0387154,-0.438949,0.0675052,0.0146048,0.895854,0.0462215,0.0819501,-0.206099,0.612487,-0.515096,-0.468577,-0.374126,
1785334309.430745,0.0363312,0.0293732,0.0261109,0.000125647,-0.000343561,0.000265121,0.0852439,0.120207,-0.32522,0.984588,0.0758702,0.000782625,0.157574,0.0675224,0.473497,0.0387099,-0.439034,0.0675099,0.0145874,0.895812,0.0462347,0.081957,-0.206099,0.612474,-0.515197,-0.468516,-0.374087,
1785334309.440750,-0.0599518,-0.0360107,0.0199702,-0.000640273,0.000665307,0.000384152,0.0851857,0.120117,-0.325173,0.9845,0.0791925,0.00033703,0.156487,0.0675193,0.473502,0.0387076,-0.438959,0.0675057,0.0146104,0.895848,0.046381,0.0820254,-0.206065,0.611434,-0.516403,-0.466409,-0.376747,
1785334309.450746,-0.00501251,-0.00283813,0.00631332,4.17233e-05,-0.000535727,0.000563085,0.0852498,0.120199,-0.325217,0.984579,0.0759506,0.000832469,0.157592,0.0675159,0.4735,0.0387041,-0.43896,0.0674957,0.0146201,0.895848,0.046385,0.0820285,-0.206067,0.61148,-0.516407,-0.466397,-0.376682,
1785334309.460751,0.0428467,0.0710449,0.0123801,0.00111461,-0.000904679,0.000369132,0.0852156,0.120087,-0.325168,0.984527,0.0791612,0.000358972,0.156333,0.067512,0.473499,0.038698,-0.438977,0.0674847,0.014608,0.895841,0.046249,0.0819094,-0.206085,0.612649,-0.515081,-0.468535,-0.373936,
1785334309.470751,-0.0406647,0.00714111,0.00622654,0.000358701,0.000219345,0.000146151,0.0852361,0.120116,-0.325203,0.984649,0.076225,0.00125519,0.157017,0.0675142,0.4735,0.0386968,-0.43897,0.0675006,0.0146223,0.895843,0.0464702,0.0820646,-0.206094,0.611334,-0.51693,-0.466478,-0.376102,
1785334309.480772,-0.00441742,0.0180969,0.00632644,0.000243783,-0.000288725,0.000121117,0.0852351,0.120117,-0.325205,0.984618,0.0765624,0.00119105,0.157046,0.067518,0.473502,0.0386954,-0.438975,0.0675128,0.01461,0.89584,0.0462524,0.0819132,-0.206085,0.612668,-0.51507,-0.468503,-0.37396,
1785334309.490663,-0.00299072,0.0321808,4.57764e-05,0.00023675,-5.36442e-05,0.000198126,0.0852425,0.120123,-0.325207,0.984655,0.076002,0.00137065,0.157086,0.0675201,0.473503,0.0386982,-0.438977,0.0675135,0.014612,0.895839,0.0464007,0.0820267,-0.206065,0.611498,-0.516384,-0.466325,-0.376775,
1785334309.500664,0.0279388,-0.031311,0.00607061,-2.82526e-05,-0.000513673,0.00041014,0.0852402,0.120123,-0.3252,0.984643,0.0761112,0.00138056,0.157111,0.0675232,0.473502,0.0387006,-0.438961,0.0675094,0.0146012,0.895848,0.0462548,0.0819232,-0.206086,0.612645,-0.515126,-0.468456,-0.37398,
1785334309.510640,0.0223999,0.0250244,0.0127709,0.000447631,-7.1764e-05,0.000188112,0.0852365,0.120118,-0.325206,0.984656,0.0763378,0.00138144,0.156916,0.0675255,0.473504,0.0387032,-0.438961,0.0674977,0.0145933,0.895849,0.0464677,0.082076,-0.206095,0.611326,-0.516952,-0.466442,-0.37613,
1785334309.520659,0.0381927,0.052063,-0.0196562,0.000428796,-0.000738621,0.000159144,0.085236,0.120124,-0.325201,0.984656,0.0761957,0.00129468,0.156988,0.0675237,0.473505,0.0387021,-0.43896,0.0675084,0.0145935,0.895848,0.0463902,0.0820277,-0.206063,0.611509,-0.516331,-0.46639,-0.376748,
1785334309.530743,0.000701904,0.0124054,-0.0125449,-0.000460386,-0.000223756,-2.28882e-05,0.0852295,0.120124,-0.325203,0.984658,0.0761664,0.0013087,0.156991,0.0675204,0.473503,0.0387,-0.438963,0.0675247,0.0146107,0.895845,0.0464695,0.0820801,-0.206094,0.611302,-0.516981,-0.466458,-0.376109,
1785334309.540751,0.0274963,-0.04216,-0.00669622,-0.000421286,-0.0005126,0.000178158,0.0852254,0.120123,-0.325205,0.984657,0.0761974,0.00131524,0.156978,0.0675139,0.473503,0.0386971,-0.438955,0.0674981,0.0145827,0.895851,0.046454,0.0821103,-0.206105,0.611417,-0.516812,-0.466583,-0.375999,
1785334309.550671,-0.0376282,-0.0237122,0.0130966,-0.000234365,0.000431299,0.000271142,0.0852209,0.120123,-0.325208,0.984651,0.0762399,0.00131072,0.156998,0.0675067,0.473502,0.0386931,-0.438964,0.067506,0.01461,0.895846,0.0464517,0.0820857,-0.206106,0.61135,-0.516979,-0.46644,-0.376054,
1785334309.570750,0.026123,0.0109558,0.00654435,-5.01871e-05,-0.00023973,-4.3869e-05,0.0851774,0.120119,-0.325181,0.984488,0.0792334,0.000386359,0.156541,0.0674854,0.473501,0.0386815,-0.438968,0.0675014,0.0146231,0.895844,0.0461959,0.0818821,-0.206102,0.612318,-0.515218,-0.468334,-0.374539,
1785334309.580638,0.0239258,0.0463562,0.00611234,0.000731707,-0.000459671,0.000328124,0.0851658,0.120119,-0.325185,0.984489,0.0792516,0.000402586,0.156524,0.0674795,0.473502,0.0386805,-0.43898,0.0674863,0.0146164,0.89584,0.0461954,0.0819236,-0.206106,0.612504,-0.515204,-0.468389,-0.374186,
1785334309.590755,0.0305099,-0.0606384,-0.00666881,-0.000604272,-0.000297666,3.11136e-05,0.0851578,0.120124,-0.325189,0.984488,0.0792627,0.000347915,0.156528,0.0674769,0.473501,0.0386814,-0.438969,0.0674954,0.014624,0.895844,0.0461917,0.081957,-0.206113,0.612549,-0.515096,-0.468519,-0.374099,
1785334309.600756,0.027916,0.0461578,0.0326421,0.000217676,-0.000375748,-8.88705e-05,0.0851398,0.120137,-0.325189,0.984486,0.0791472,0.000356422,0.1566,0.067476,0.473496,0.0386815,-0.439035,0.0675176,0.0146288,0.89581,0.0460898,0.0818658,-0.206086,0.612567,-0.514416,-0.468456,-0.375082,
1785334309.610756,0.00123596,-0.0249634,0.0195529,-0.000328183,0.000145316,-0.00016582,0.0851424,0.120202,-0.325207,0.984516,0.0779697,6.15547e-05,0.157,0.067477,0.473505,0.0386891,-0.438962,0.0674967,0.0146306,0.895847,0.0460858,0.0819231,-0.206097,0.612789,-0.514467,-0.468476,-0.374625,
1785334309.620752,-0.00501251,0.0123749,-0.0129032,-3.02792e-05,0.000338316,-0.000445843,0.085138,0.120204,-0.32521,0.98452,0.0779534,4.59785e-05,0.156985,0.0674794,0.473505,0.0386926,-0.438956,0.0674922,0.0146186,0.895851,0.0460675,0.0818839,-0.206097,0.61256,-0.514457,-0.46842,-0.375083,
1785334309.630748,0.0416489,-0.019928,-0.0261972,-0.000207305,-0.000161648,-0.000347853,0.085093,0.120122,-0.325205,0.984585,0.0783664,0.000455883,0.156368,0.0674815,0.473506,0.0386945,-0.438954,0.0674893,0.01462,0.895852,0.0460811,0.0819255,-0.206096,0.61277,-0.51446,-0.468505,-0.374628,
1785334309.640754,-0.0151596,-0.00132751,-0.00653243,-1.93119e-05,0.000445366,-0.000515878,0.0851367,0.120209,-0.325211,0.984518,0.0779733,6.49578e-05,0.156988,0.067487,0.473507,0.0386953,-0.438949,0.067507,0.0146116,0.895853,0.0461676,0.0819756,-0.206127,0.612546,-0.515106,-0.46865,-0.373926,
1785334309.650763,0.00371552,0.0119781,-0.0129943,-3.42131e-05,-3.69549e-06,-0.000452876,0.0851405,0.120204,-0.32521,0.98452,0.077965,6.16591e-05,0.156979,0.0674903,0.473509,0.0386954,-0.438956,0.0674924,0.0146154,0.895851,0.0460665,0.0818848,-0.206096,0.61258,-0.514424,-0.468426,-0.375088,
1785334309.660757,0.00934601,0.0342102,-4.52995e-06,0.00025177,6.62804e-05,-0.000397861,0.085147,0.120128,-0.325202,0.984508,0.0793001,0.00040027,0.156384,0.0674958,0.473506,0.0386918,-0.438965,0.0675136,0.0146195,0.895845,0.0461625,0.0819252,-0.206122,0.612343,-0.51507,-0.468504,-0.374491,
1785334309.670752,-0.00497437,0.00570679,0.000303268,-0.00024128,0.000337362,-0.000184834,0.0851898,0.120221,-0.3252,0.984422,0.0788986,5.89932e-05,0.157125,0.0674954,0.473504,0.0386898,-0.438963,0.0674911,0.0145941,0.895848,0.0461004,0.0819178,-0.206092,0.612787,-0.514467,-0.468421,-0.374696,
1785334309.680756,0.0399094,-0.0534363,0.0196671,-0.000828266,-0.000394702,0.000104189,0.085168,0.120126,-0.325186,0.984495,0.0792291,0.000375089,0.1565,0.0674969,0.473503,0.0386882,-0.43897,0.0674966,0.0145944,0.895844,0.0464051,0.082065,-0.206122,0.610981,-0.516947,-0.466407,-0.376739,
1785334309.690876,-0.01091,0.0257263,-0.00615668,3.17097e-05,0.000276446,0.000724137,0.0851852,0.120093,-0.325181,0.984528,0.0791633,0.000353747,0.156325,0.067498,0.473502,0.0386861,-0.438975,0.0675095,0.014612,0.89584,0.0461943,0.0819116,-0.20611,0.612384,-0.515081,-0.468472,-0.374447,
1785334309.700757,0.0581665,0.0042572,0.0129554,-0.000187397,-0.00145459,0.000951171,0.0852035,0.120113,-0.325212,0.984605,0.0768654,0.00107656,0.156981,0.0674999,0.473502,0.0386857,-0.438979,0.0675106,0.0145843,0.895839,0.046132,0.0818762,-0.206074,0.612758,-0.514614,-0.468251,-0.374756,
1785334309.710811,-0.0300751,0.0259552,0.00625634,0.000541687,0.000109196,0.000459075,0.0852258,0.12012,-0.325209,0.984649,0.0762512,0.00132201,0.157003,0.0675,0.473504,0.0386877,-0.438965,0.0675101,0.0146067,0.895845,0.0463779,0.0820309,-0.206074,0.611557,-0.516348,-0.466327,-0.376725,
1785334309.720748,-0.0318985,7.62939e-05,0.0193419,0.000143647,-0.000123739,0.000400066,0.0852348,0.120126,-0.325206,0.984648,0.0760847,0.00140569,0.157092,0.0674962,0.473506,0.0386906,-0.438959,0.0674794,0.014587,0.895851,0.0463782,0.0820297,-0.206071,0.61158,-0.516292,-0.466348,-0.37674,
1785334309.730633,0.00817871,-0.00192261,0.00633574,4.673e-05,-0.000425696,0.000475109,0.085281,0.120212,-0.325222,0.984586,0.0758309,0.00110236,0.157606,0.067496,0.473508,0.0386928,-0.438957,0.0675229,0.0146162,0.895848,0.0464555,0.0820748,-0.2061,0.611408,-0.516854,-0.466456,-0.376113,
1785334309.740632,-0.00162506,-0.0209351,-0.0131948,-0.00013423,-0.000326633,0.000420094,0.0852858,0.120222,-0.325216,0.984588,0.0756498,0.00101185,0.157676,0.0674895,0.47351,0.0386947,-0.438956,0.0675111,0.0146223,0.895849,0.0463733,0.0820381,-0.206077,0.611638,-0.516261,-0.46632,-0.376721,
1785334309.750728,0.0109482,-0.0285797,-0.0200272,7.86781e-05,-0.000460744,0.00050211,0.0852171,0.120152,-0.325212,0.984618,0.0764621,0.00149668,0.157092,0.067483,0.473512,0.0386947,-0.438957,0.0674858,0.014615,0.895851,0.0463805,0.0820765,-0.206082,0.611686,-0.516166,-0.466477,-0.376579,
1785334309.760776,0.0274277,0.0298157,-0.020139,0.000647664,-0.000875711,0.000259101,0.0852648,0.120218,-0.325216,0.984575,0.075956,0.000925701,0.157615,0.0674837,0.473511,0.0386931,-0.438963,0.0674969,0.0146198,0.895847,0.0464516,0.0821204,-0.20611,0.611431,-0.516813,-0.466544,-0.376024,
1785334309.770668,-0.0217514,0.0318298,0.0124943,0.00074172,-0.000225663,0.000187099,0.0852026,0.120157,-0.325211,0.984565,0.0767772,0.00120913,0.157273,0.0674885,0.473508,0.0386916,-0.438951,0.0675021,0.0146172,0.895853,0.0464539,0.0821196,-0.206111,0.611381,-0.516857,-0.466588,-0.37599,
1785334309.780756,0.0290604,0.0587311,-0.0132365,0.000636697,-0.000389814,-9.88841e-05,0.085236,0.120241,-0.325225,0.984552,0.0758669,0.000923763,0.157802,0.0674946,0.473509,0.0386897,-0.438961,0.067507,0.0146135,0.895847,0.0462174,0.0819269,-0.206097,0.612653,-0.515073,-0.468551,-0.373919,
1785334309.790714,-0.0416412,-0.0227356,0.000645399,-0.000730395,0.000845313,-0.000130832,0.0851735,0.120126,-0.325185,0.9845,0.079166,0.000381119,0.156498,0.0675001,0.473506,0.038689,-0.438966,0.0674971,0.0145921,0.895846,0.0463506,0.0820809,-0.206093,0.611577,-0.516286,-0.466477,-0.376593,
1785334309.800751,-0.0591354,-0.000259399,0.0331681,-0.000442266,0.00116348,-0.000492811,0.0851995,0.12024,-0.325194,0.984391,0.079048,5.21895e-05,0.157243,0.0675089,0.473505,0.0386874,-0.438965,0.0675274,0.0146007,0.895844,0.0461055,0.0819123,-0.206091,0.612779,-0.514458,-0.468427,-0.374715,
