timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1750926060.568449,-5.53155,4.225,1.16753,0.034476,0.095893,0.047135,-0.0056491,0.284675,-0.131527,0.179995,0.18658,-0.731018,0.631192,0.060967,0.422043,0.329955,0.683211,0.606271,-0.354815,0.199412,-0.0152053,0.209228,-0.0897195,-0.28196,0.419452,0.556547,0.659405,
1750926060.578446,-5.6252,4.26182,1.17495,0.034344,0.097263,0.047322,-0.00565347,0.284679,-0.131514,0.179907,0.186778,-0.730983,0.631199,0.0609442,0.422042,0.33001,0.683062,0.607139,-0.354507,0.19782,-0.0152412,0.209794,-0.0896972,-0.284865,0.419764,0.557515,0.657136,
1750926060.588418,-5.6081,4.26367,1.14828,0.034869,0.096957,0.047136,-0.00556392,0.284693,-0.131419,0.181007,0.187228,-0.731704,0.629913,0.0609691,0.422066,0.329948,0.684107,0.605721,-0.354395,0.198759,-0.015178,0.209139,-0.0898647,-0.280403,0.4184,0.558152,0.659381,
1750926060.598425,-5.62838,4.22393,1.16786,0.034481,0.097168,0.047268,-0.00557528,0.284667,-0.131468,0.18129,0.185916,-0.731169,0.630841,0.0609493,0.422106,0.329986,0.683635,0.607392,-0.353464,0.196931,-0.0152039,0.209776,-0.0898353,-0.283598,0.419124,0.558844,0.656963,
1750926060.608393,-5.59431,4.19929,1.1614,0.034091,0.096802,0.047284,-0.00566168,0.284674,-0.131519,0.179934,0.1868,-0.730953,0.631219,0.0609391,0.422041,0.330019,0.683229,0.607026,-0.354582,0.197456,-0.0152042,0.2091,-0.0898521,-0.280235,0.418042,0.558051,0.659764,
1750926060.618449,-5.60952,4.23152,1.15503,0.034267,0.096717,0.047342,-0.00558187,0.284695,-0.131472,0.181486,0.186574,-0.731644,0.630039,0.0609401,0.42204,0.330009,0.683231,0.607008,-0.354469,0.197707,-0.0151773,0.209188,-0.0898594,-0.280455,0.418379,0.557922,0.659565,
1750926060.628516,-5.61521,4.21913,1.16152,0.034287,0.097276,0.047191,-0.00564567,0.284701,-0.131467,0.179729,0.187929,-0.731623,0.630165,0.0609449,0.422042,0.330018,0.683228,0.607013,-0.354631,0.197411,-0.0151925,0.209784,-0.0898496,-0.283254,0.419202,0.558842,0.657064,
1750926060.638491,-5.6186,4.23723,1.18103,0.034463,0.097067,0.047334,-0.00557313,0.284669,-0.131468,0.181317,0.185899,-0.731208,0.630794,0.060942,0.422011,0.330017,0.6824,0.607532,-0.354842,0.1983,-0.0152142,0.20972,-0.0898272,-0.283314,0.418677,0.558751,0.65745,
1750926060.658487,-5.64056,4.24338,1.16789,0.034673,0.0973,0.047168,-0.00565091,0.284649,-0.13152,0.179747,0.186784,-0.73075,0.631512,0.0609407,0.42204,0.330016,0.683194,0.607047,-0.354619,0.197445,-0.0152082,0.209251,-0.0897338,-0.282003,0.419478,0.55665,0.659283,
1750926060.668540,-5.59628,4.24952,1.17415,0.034869,0.096833,0.047221,-0.00564558,0.28468,-0.131524,0.179966,0.186625,-0.731008,0.631198,0.0609709,0.422073,0.329948,0.684122,0.605686,-0.354419,0.19877,-0.0152525,0.209773,-0.0897129,-0.284591,0.419303,0.557587,0.657487,
1750926060.678570,-5.63294,4.22108,1.17449,0.03438,0.097341,0.047275,-0.00568626,0.284669,-0.131558,0.180312,0.186124,-0.731045,0.631204,0.0609542,0.422106,0.329997,0.683796,0.60727,-0.353578,0.196543,-0.0152315,0.209131,-0.0897283,-0.281594,0.419082,0.556767,0.65961,
1750926060.688544,-5.5365,4.19533,1.13542,0.033901,0.096435,0.047275,-0.00565909,0.284639,-0.13151,0.17967,0.186875,-0.730727,0.631534,0.0609376,0.422036,0.330009,0.683229,0.60701,-0.35449,0.197671,-0.0152513,0.209803,-0.0897119,-0.284904,0.419788,0.557572,0.657055,
1750926060.698545,-5.57167,4.22797,1.16096,0.034585,0.096194,0.04681,-0.00565982,0.284651,-0.13151,0.179663,0.186936,-0.730724,0.63152,0.0609364,0.422035,0.330003,0.683216,0.607001,-0.354504,0.197716,-0.0152196,0.209748,-0.0898374,-0.283371,0.41872,0.558814,0.657344,
1750926060.708484,-5.56846,4.18838,1.14148,0.034202,0.096151,0.047363,-0.00566368,0.284683,-0.131507,0.179854,0.186651,-0.731116,0.631097,0.0609429,0.422048,0.330018,0.68319,0.607048,-0.354612,0.19747,-0.0152462,0.209111,-0.0897394,-0.281012,0.418741,0.556742,0.660096,
1750926060.718487,-5.54804,4.1609,1.16128,0.033708,0.096306,0.047389,-0.00564774,0.284705,-0.131468,0.179657,0.188084,-0.731529,0.630249,0.0609724,0.422072,0.329949,0.684107,0.60569,-0.354418,0.198809,-0.0152403,0.209799,-0.0896986,-0.284862,0.419814,0.557494,0.657123,
1750926060.728488,-5.54789,4.24769,1.16102,0.034773,0.096194,0.047035,-0.00565072,0.284644,-0.131521,0.179756,0.186748,-0.730757,0.631511,0.0609443,0.42201,0.330025,0.682363,0.607563,-0.355005,0.198038,-0.0151938,0.209753,-0.0898394,-0.283461,0.419136,0.558838,0.657019,
