Analysis_Type,Flexion_Angle,Target_Torque,Torque_Range,Data_Points,Actual_Torque_Mean,Actual_Torque_Std,Rotation_Mean,Rotation_Std,Medial_Gap_Mean,Medial_Gap_Std,Lateral_Gap_Mean,Lateral_Gap_Std
Rotation (TJX),0°,-1.0,-1.1 to -0.9,8,-0.96231264275,0.07210675222083099,46.457512068503334,2.5192004244296453,5.115282375381534,5.156642478752101,12.80119166901564,5.194715434175656
Joint Gaps (TJY),0°,-1.0,-1.1 to -0.9,38,-0.9994951008736843,0.05729971867528763,-35.20180164321332,0.8118276597626402,5.74492384416111,3.035963424521489,8.164187930735135,2.4512635273885293
Rotation (TJX),0°,-0.5,-0.6 to -0.4,32,-0.4864684425,0.060382731288138626,44.38333543440312,3.0860921025971386,7.807852626966715,5.932985331413009,14.380389295763589,4.929726672219346
Joint Gaps (TJY),0°,-0.5,-0.6 to -0.4,24,-0.4837239375,0.05752819862912452,-9.354594401803162,37.345756025162764,4.284074886785144,3.296838835403683,8.685028242295838,4.372320111686611
Rotation (TJX),0°,0.0,-0.1 to 0.1,12,0.054137582999999996,0.06095469191833116,-35.12236632883826,0.9025064346843735,4.538322229273814,2.4678872143233037,7.48936851754796,2.5268673060544984
Joint Gaps (TJY),0°,0.0,-0.1 to 0.1,24,-0.005086231985000002,0.05131412561170911,45.55650262628581,2.9037027342819695,7.123447795555028,5.332310305471046,14.803738425508202,4.579990181676045
Rotation (TJX),0°,0.5,0.4 to 0.6,24,0.44800317325,0.03863151421405853,-35.92028271300998,0.5423513986620855,6.1656593632262675,2.0512145654074194,9.04635632423305,1.9348018567686984
Joint Gaps (TJY),0°,0.5,0.4 to 0.6,2,0.526950042,0.0,46.58533123487609,0.0,12.388086276017816,0.0,17.652115886704532,0.0
Rotation (TJX),0°,1.0,0.9 to 1.1,0,,,,,,,,
Joint Gaps (TJY),0°,1.0,0.9 to 1.1,0,,,,,,,,
Rotation (TJX),30°,-1.0,-1.1 to -0.9,48,-0.9910077199416666,0.06135149307999914,41.55727876781763,3.257926049290507,-2.594597012753963,1.7545450136280343,4.9753562127580055,1.099024128996303
Joint Gaps (TJY),30°,-1.0,-1.1 to -0.9,30,-1.0043472659333335,0.06774608751225038,-34.44445612268469,1.4168669662211157,0.33521185345978577,1.2895547188638032,2.9745346502243923,1.6151575191529761
Rotation (TJX),30°,-0.5,-0.6 to -0.4,32,-0.52871493325,0.046779771029377956,43.24929806448252,1.8607746942180057,-1.7239334864635572,1.9052787670379239,5.8409034549805625,1.5975641371921465
Joint Gaps (TJY),30°,-0.5,-0.6 to -0.4,8,-0.46549692500000006,0.06854539233364805,4.9635050177268845,41.89812212228741,0.9350897287409408,1.3880513535836767,6.647828899323082,1.6210872163725842
Rotation (TJX),30°,0.0,-0.1 to 0.1,8,-0.006308653250000032,0.060547599583468746,-28.898028200763683,3.346714145718957,-2.221455767614543,0.8175256667726668,1.8204269776713322,0.5194257146367605
Joint Gaps (TJY),30°,0.0,-0.1 to 0.1,52,0.0017121778230769096,0.060782645636562986,41.209592108994336,4.570072707339808,-3.0339512172494927,2.302670635572989,5.1540258522784566,1.585038671739351
Rotation (TJX),30°,0.5,0.4 to 0.6,36,0.4812740572333334,0.04979937415188301,-34.64367777350428,0.5894337574582371,0.07132558101856726,1.1814702840537121,2.6922683289376472,1.7359550056864768
Joint Gaps (TJY),30°,0.5,0.4 to 0.6,14,0.4649401963714284,0.03670092432530762,39.740986933118954,2.8319108309030256,-2.431439083219453,1.4245772952022158,5.069428823314403,0.6622810018680473
Rotation (TJX),30°,1.0,0.9 to 1.1,12,0.9200073344666665,0.013934200099815258,-36.211416756030076,0.1532556045054131,0.03227006086137302,0.6075439865692457,1.4502971352521834,0.8522381825895055
Joint Gaps (TJY),30°,1.0,0.9 to 1.1,0,,,,,,,,
Rotation (TJX),60°,-1.0,-1.1 to -0.9,10,-0.9873353866200001,0.06212956320325319,31.28524878600349,3.785482234307113,0.809577174469743,1.5598400996769657,10.948346726451167,3.675333932618202
Joint Gaps (TJY),60°,-1.0,-1.1 to -0.9,40,-1.0229496935,0.05350078870549357,-34.69822151049422,2.0513857557663124,2.5424072012076406,1.8738905844477365,4.117211875279116,1.7185360886135281
Rotation (TJX),60°,-0.5,-0.6 to -0.4,16,-0.5011501169999999,0.05242724688544143,34.66585354344041,5.825093499981989,1.2221999592228072,1.7437287059214595,8.688354809635713,3.3339460932963796
Joint Gaps (TJY),60°,-0.5,-0.6 to -0.4,12,-0.5043006333333333,0.05946576595501999,25.9130468484104,7.359643515690867,2.157381495948741,1.7387813467646098,8.312313887758473,0.9908801946349671
Rotation (TJX),60°,0.0,-0.1 to 0.1,2,-0.08002499999999996,0.0,-26.2962638514572,0.0,0.1625188013111533,0.0,3.319314998570665,0.0
Joint Gaps (TJY),60°,0.0,-0.1 to 0.1,8,0.011111119249999975,0.07339457815467508,34.109519294936135,4.4539294852189295,-0.6210360568337674,0.3373753351243746,6.72297466683777,0.6170421348955866
Rotation (TJX),60°,0.5,0.4 to 0.6,32,0.5351996690625,0.0370599303510649,-34.62288336814191,0.42840343478696674,3.77616097864721,2.8052610865380507,4.149418551799779,2.3998473643268556
Joint Gaps (TJY),60°,0.5,0.4 to 0.6,10,0.5066678636040001,0.04991072582381257,33.466190246594394,3.550495367270413,0.31984928077388075,1.9670573535613618,8.458260799581577,3.6320548952064113
Rotation (TJX),60°,1.0,0.9 to 1.1,16,0.978605902343875,0.05163210857063522,-36.436607994305675,0.35936815902513497,2.5816861681950876,2.266809306763537,2.3759711838558077,2.1329342024041176
Joint Gaps (TJY),60°,1.0,0.9 to 1.1,16,0.994083391375,0.050329399765122115,34.51171542094393,3.9603875682833816,-0.17862946613250597,1.6415468940034132,10.609614631143646,2.6655931373833384
Rotation (TJX),90°,-1.0,-1.1 to -0.9,26,-1.0137914332307694,0.06317769611275714,25.782764374188613,2.1285471132872296,7.401805838834052,3.3475351012009904,17.398577794431453,5.060098234303703
Joint Gaps (TJY),90°,-1.0,-1.1 to -0.9,28,-1.009451354785714,0.059618540790664254,-16.30451692554348,16.838585625615384,16.55917554308324,5.578169785235965,13.168623683809615,3.1564974190717945
Rotation (TJX),90°,-0.5,-0.6 to -0.4,36,-0.5027659420555556,0.05863731017181154,13.973124867887314,4.300180227547969,10.584257261364867,3.1820298207415254,20.836334731617647,5.663047432854057
Joint Gaps (TJY),90°,-0.5,-0.6 to -0.4,74,-0.5009239410170271,0.05266800392414514,10.708042693567256,14.715905652489358,14.642270599028064,3.312938567218008,24.70067868045587,5.9271512361757015
Rotation (TJX),90°,0.0,-0.1 to 0.1,126,0.006289600655396826,0.03587130456947033,2.1755094293141664,19.037164083460915,16.75562462484748,3.0024314872012043,23.118460677266707,6.024362775742933
Joint Gaps (TJY),90°,0.0,-0.1 to 0.1,28,0.008886145214285702,0.056545956407655265,18.656215761373353,4.696948885615669,9.644946120836183,3.6118839418005866,19.673583490054103,5.568043361159638
Rotation (TJX),90°,0.5,0.4 to 0.6,36,0.5381266556555554,0.0455092424070738,-34.415122022968426,3.99614142617778,16.74078232436852,3.802300780365767,12.656342197494915,2.290980094084718
Joint Gaps (TJY),90°,0.5,0.4 to 0.6,10,0.5036969920000001,0.06635425161278515,23.274100655763817,6.849930802874581,6.481840965994128,2.6186991188648636,15.733707896011856,4.699149001451011
Rotation (TJX),90°,1.0,0.9 to 1.1,24,0.9989895279666667,0.059683673666784884,-38.66776097159132,0.9515561054128946,16.54221478503937,3.71302432569007,13.164322715110869,1.770049069585636
Joint Gaps (TJY),90°,1.0,0.9 to 1.1,2,0.952862678,0.0,29.97178809985417,0.0,3.802497341226452,0.0,13.194298973319087,0.0
Rotation (TJX),120°,-1.0,-1.1 to -0.9,0,,,,,,,,
Joint Gaps (TJY),120°,-1.0,-1.1 to -0.9,0,,,,,,,,
Rotation (TJX),120°,-0.5,-0.6 to -0.4,0,,,,,,,,
Joint Gaps (TJY),120°,-0.5,-0.6 to -0.4,0,,,,,,,,
Rotation (TJX),120°,0.0,-0.1 to 0.1,0,,,,,,,,
Joint Gaps (TJY),120°,0.0,-0.1 to 0.1,0,,,,,,,,
Rotation (TJX),120°,0.5,0.4 to 0.6,0,,,,,,,,
Joint Gaps (TJY),120°,0.5,0.4 to 0.6,0,,,,,,,,
Rotation (TJX),120°,1.0,0.9 to 1.1,0,,,,,,,,
Joint Gaps (TJY),120°,1.0,0.9 to 1.1,0,,,,,,,,
