Flexion_Angle,Target_Torque,Torque_Range,Data_Points,Actual_Torque_Mean,Actual_Torque_Std,Medial_Gap_Mean,Medial_Gap_Std,Lateral_Gap_Mean,Lateral_Gap_Std,Rotation_Mean,Rotation_Std
0°,-1.0,-1.1 to -0.9,0,,,,,,,,
0°,-0.5,-0.6 to -0.4,32,-0.46173349999999996,0.042205053132717225,6.680080134315446,1.8228890203871413,9.086411225195246,1.6470605322185783,-35.72538019303202,0.6695978522027131
0°,0.0,-0.1 to 0.1,82,-0.005719082926829271,0.05773977310772037,5.5267355537800045,4.942652661051034,12.912046424702286,4.221862553412238,44.46267532244173,3.8141752682346275
0°,0.5,0.4 to 0.6,0,,,,,,,,
0°,1.0,0.9 to 1.1,0,,,,,,,,
30°,-1.0,-1.1 to -0.9,0,,,,,,,,
30°,-0.5,-0.6 to -0.4,70,-0.4810197428571429,0.05899362220863573,-0.012570481584556564,1.0209636048758615,2.241558981334996,1.3927124847194723,-34.72427225846469,1.2496196193458562
30°,0.0,-0.1 to 0.1,48,0.030957970416666664,0.06320116653662138,-1.7401916898020138,1.455259275601095,5.730036590570939,1.2950735035081964,40.306068391028845,14.608631155356495
30°,0.5,0.4 to 0.6,10,0.47098340000000005,0.054669972158601116,-2.7014474684116694,1.6456159619706894,4.9316930704405415,0.7219645134213125,39.4329994754602,2.014884712334493
30°,1.0,0.9 to 1.1,0,,,,,,,,
60°,-1.0,-1.1 to -0.9,0,,,,,,,,
60°,-0.5,-0.6 to -0.4,54,-0.5414223703703703,0.05306117993279303,2.2703124251160984,2.1092959772095288,3.559758285112951,2.131051139255023,-34.65074905415917,2.018191558385364
60°,0.0,-0.1 to 0.1,26,0.00025921923076923026,0.060919317871794,-0.04208394025422609,1.547617083703959,7.16609916265404,1.8351864518565368,29.890375314490168,6.062472998866542
60°,0.5,0.4 to 0.6,20,0.5234074000000002,0.06045504558142879,0.7576380004150488,2.019501202089967,11.404384226471972,3.217564466264282,32.8768774390659,5.74932187675416
60°,1.0,0.9 to 1.1,0,,,,,,,,
90°,-1.0,-1.1 to -0.9,28,-0.9759996428571427,0.0461964117182872,17.549008644908852,2.8621362976684663,12.688255482498167,1.4522239141933122,-38.34337332093376,2.926710960622125
90°,-0.5,-0.6 to -0.4,46,-0.5210198695652174,0.05416032899153677,17.9314894221234,3.8076393771397745,13.446608318808638,2.4249560682616167,-23.77984053727045,14.57873141914605
90°,0.0,-0.1 to 0.1,64,-0.0342805896875,0.038450854249556264,14.172699892767145,5.685715039955268,19.5907843643937,5.248853117651366,1.9214172154572506,18.183276386815315
90°,0.5,0.4 to 0.6,28,0.49557435714285714,0.04435402275731723,8.919538492116777,3.278161509889678,20.128622451306033,4.6373108684762965,25.251158591675566,1.943554380261504
90°,1.0,0.9 to 1.1,0,,,,,,,,
120°,-1.0,-1.1 to -0.9,0,,,,,,,,
120°,-0.5,-0.6 to -0.4,0,,,,,,,,
120°,0.0,-0.1 to 0.1,0,,,,,,,,
120°,0.5,0.4 to 0.6,0,,,,,,,,
120°,1.0,0.9 to 1.1,0,,,,,,,,
