timestamp,force_x,force_y,force_z,torque_x,torque_y,torque_z,tibia_x,tibia_y,tibia_z,tibia_qx,tibia_qy,tibia_qz,tibia_qw,femur_x,femur_y,femur_z,femur_qx,femur_qy,femur_qz,femur_qw,sensor_x,sensor_y,sensor_z,sensor_qx,sensor_qy,sensor_qz,sensor_qw,F_AP_x,F_AP_y,F_AP_z,F_medLat_x,F_medLat_y,F_medLat_z,F_proxDist_x,F_proxDist_y,F_proxDist_z
1753093918.002304,-11.8508,-0.809528,12.215,0.0315278,3.26028,0.107,-0.115276,0.313506,-0.281242,0.378474,0.408516,-0.527399,0.641656,0.0346234,0.312003,0.240438,0.686009,0.367943,-0.547828,0.30642,-0.150434,0.182824,-0.340892,-0.0899414,0.169117,0.746576,0.63713,-1.7182585485996944,-8.77825048514667,2.399059769845496,5.7184739926648085,-1.020531194026371,0.3615326240195709,-0.1757963941305504,3.475692583203987,12.591781508490197
1753093918.012327,-11.8786,-0.81262,12.2145,0.0315106,3.25883,0.106569,-0.115175,0.313403,-0.281242,0.380032,0.406535,-0.528634,0.640976,0.0346359,0.312004,0.240444,0.685781,0.368211,-0.54737,0.307427,-0.150158,0.182821,-0.340962,-0.0885432,0.170218,0.746627,0.636973,-1.7667532932207068,-8.755648767428546,2.396107687489443,5.842832939166982,-1.073310543011788,0.3861738806038283,-0.19169272906841248,3.47711097113974,12.564413855642501
1753093918.02229,-11.8493,-0.842659,12.2145,0.0305737,3.25639,0.106489,-0.115158,0.31339,-0.281238,0.379792,0.406595,-0.528642,0.641074,0.0346253,0.311999,0.24049,0.685349,0.369148,-0.547645,0.306777,-0.150453,0.182805,-0.340862,-0.0910857,0.169013,0.746133,0.637513,-1.7581427958798548,-8.73028826001561,2.392511036145191,5.768737029020421,-1.0575653558617903,0.38010818954609077,-0.1900399733686585,3.48874386559957,12.590797595848596
1753093918.03317,-11.7892,-0.826475,12.2456,0.0316618,3.25439,0.106227,-0.115196,0.313481,-0.281257,0.377856,0.409075,-0.527114,0.641897,0.0346196,0.312012,0.240462,0.685924,0.368351,-0.547981,0.305847,-0.150347,0.182774,-0.340899,-0.0910488,0.16865,0.746849,0.636776,-1.6911222803498367,-8.722508855923966,2.3861666204355183,5.670106546224987,-1.0027301163652769,0.35308564999830777,-0.1696487795763662,3.487958163746036,12.62981758410937
1753093918.042271,-11.819,-0.797304,12.2385,0.0326737,3.25496,0.106282,-0.115111,0.313336,-0.281274,0.379829,0.40627,-0.528613,0.641282,0.0346195,0.312005,0.24044,0.686025,0.367955,-0.547816,0.306394,-0.149407,0.182756,-0.341062,-0.0880478,0.17064,0.750629,0.632207,-1.7440099929827868,-8.650579574937405,2.3735537771705815,5.933251710351707,-1.0877244665634467,0.3952736311037141,-0.19772072553043174,3.4871932693518026,12.56403635569527
1753093918.052277,-11.7633,-0.799526,12.1843,0.0341047,3.25262,0.106383,-0.115111,0.313349,-0.281246,0.379859,0.406902,-0.528033,0.641342,0.0345996,0.311973,0.240438,0.685464,0.36809,-0.548301,0.306619,-0.149252,0.182552,-0.34122,-0.0857113,0.170697,0.75022,0.632997,-1.7293170978182837,-8.64007953984215,2.3600583615672384,5.938942930443039,-1.0814416741968196,0.392606168097589,-0.19707896181677093,3.4482339683902623,12.479438737705255
1753093918.062291,-11.7221,-0.785139,12.1246,0.0351197,3.25144,0.106924,-0.115128,0.313406,-0.281302,0.378292,0.408313,-0.52725,0.642015,0.0346156,0.312015,0.240462,0.685945,0.368329,-0.547984,0.305822,-0.1496,0.182519,-0.341088,-0.0880266,0.169546,0.749815,0.633469,-1.6911637046783599,-8.658615463463848,2.3708612821149853,5.778767272813529,-1.027734750523966,0.36867676440338654,-0.1817499521711493,3.4454284186063497,12.453394504306514
1753093918.074103,-11.7284,-0.752867,12.0522,0.0358167,3.25013,0.106966,-0.115104,0.313304,-0.28127,0.379547,0.407037,-0.528162,0.641335,0.0346195,0.312014,0.240456,0.68588,0.3682,-0.548138,0.305847,-0.149283,0.182518,-0.341195,-0.0864884,0.171292,0.749758,0.633279,-1.7243097339892082,-8.629599925427918,2.3614693698866174,5.847565450688248,-1.0635131933257493,0.3833717534048346,-0.18856309241666452,3.4239170685544553,12.37445366701783
1753093918.08381,-11.6456,-0.829035,12.0252,0.0355707,3.24862,0.106912,-0.115097,0.313282,-0.281282,0.379512,0.406986,-0.528116,0.641426,0.0346198,0.312003,0.240443,0.686009,0.36793,-0.54782,0.306453,-0.149364,0.18249,-0.341163,-0.0866904,0.171274,0.749585,0.633461,-1.7048162453848488,-8.536567577419762,2.3369058004737675,5.877849531506239,-1.0681004835883088,0.3862977324247384,-0.19015012132097964,3.414549381448982,12.334412674846599
1753093918.092295,-11.6576,-0.827059,12.0386,0.0352337,3.24812,0.107419,-0.115095,0.313256,-0.281291,0.379419,0.407004,-0.52814,0.641449,0.0346009,0.311935,0.240439,0.685199,0.367352,-0.54864,0.307488,-0.150058,0.182478,-0.341064,-0.0884241,0.170378,0.745761,0.63796,-1.7172523425050223,-8.603653392100682,2.3567089849958442,5.7341964373272285,-1.0414455688306574,0.3762982909948002,-0.189544834181465,3.4271090468782663,12.373255353722305
1753093918.103785,-11.596,-0.827991,12.0255,0.0351427,3.24759,0.107145,-0.11503,0.313156,-0.281333,0.379742,0.40585,-0.528632,0.641584,0.0346228,0.312006,0.240443,0.686035,0.367941,-0.547801,0.306416,-0.149505,0.182394,-0.341093,-0.0874737,0.17138,0.74879,0.634264,-1.713437114636155,-8.491263508785849,2.3359680881299023,5.854868093610807,-1.0728075368553602,0.39489272474604814,-0.20249397489125068,3.4311171761906247,12.32360986726205
1753093918.112269,-11.5979,-0.786077,12.006,0.0364048,3.25086,0.107215,-0.115056,0.313124,-0.281368,0.379204,0.406341,-0.52808,0.642046,0.0346241,0.312009,0.240441,0.686032,0.367673,-0.548195,0.306037,-0.150145,0.18235,-0.341045,-0.0887687,0.170539,0.744916,0.638856,-1.713131989814248,-8.583090749769907,2.3616597819849,5.6659326794377565,-1.0263866748069954,0.3797839798507847,-0.20445865963826368,3.432733616957867,12.327431624908181
1753093918.122268,-11.7603,-0.768696,12.0397,0.0368637,3.25658,0.107142,-0.11503,0.313042,-0.281383,0.379624,0.405766,-0.529032,0.641377,0.03462,0.312012,0.240467,0.68596,0.368337,-0.547948,0.305844,-0.149402,0.182328,-0.341017,-0.0886467,0.171746,0.749521,0.633137,-1.7447843182429772,-8.620260575573624,2.376423870981632,5.858135412734725,-1.077449997480693,0.39272584249171294,-0.19497242020818326,3.4523187334391774,12.379821045459563
